team,elo_adjusted
Argentina,1773.9
France,1759.5
Brazil,1744.3
England,1728.8
Spain,1720.6
Germany,1710.2
Netherlands,1694.7
Portugal,1693.5
Belgium,1680.4
Colombia,1678.2
Italy,1672.1
Croatia,1660.8
Uruguay,1656.3
Mexico,1643.7
USA,1640.5
Switzerland,1635.2
Denmark,1630.8
Japan,1625.4
Morocco,1620.1
Senegal,1612.6
South Korea,1605.3
Australia,1598.7
Ecuador,1592.4
Canada,1588.1
Turkey,1585.6
Egypt,1580.2
Saudi Arabia,1575.8
Tunisia,1570.3
Ghana,1565.9
Norway,1560.4
Sweden,1555.1
Paraguay,1550.7
Algeria,1546.3
Panama,1541.8
Cape Verde,1537.4
Bosnia and Herzegovina,1533.0
DR Congo,1528.6
Ivory Coast,1524.2
Wales,1519.8
Austria,1515.4
Serbia,1510.9
Peru,1506.5
Chile,1502.1
Cameroon,1497.7
Nigeria,1493.3
Qatar,1488.9
IR Iran,1484.5
Costa Rica,1480.1
